"","Metabolite","Group1","Group2","P_Value","Higher_Group","p_value","Correct","IL_W_FUL_R10","IL_W_FUL_R4","IL_W_DES_R1","IL_W_DES_R6","IL_W_DES_R8","IL_D_WEB_R1","IL_D_WEB_R9","IL_D_CDB_R7","H_W_FUL_R10","H_W_DES_R10","H_W_FUL_R4","H_W_DES_R6","H_D_CDB_R10","H_D_CDB_R7","IL_W_FUL_R3","IL_D_CDB_R3","H_D_WEB_R1","IL_D_WEB_R2","H_D_WEB_R10","H_W_FUL_R9","H_D_CDB_R5","H_D_WEB_R5","H_W_DES_R8","IL_D_CDB_R1"
"19","Path15",NA,NA,NA,NA,0.227668618705267,"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",9411.262858,12006.05747,13862.07052,9877.535645,9364.367682,10808.80592,13788.54377,8041.328696,12930.85856,9914.270706,10791.71507,5572.931507,5182.120153,11021.60333,12535.82348,11500.15058,9218.891567,8859.090295,9364.598076,12688.58121,8428.099087,12315.88591,12885.75492,9783.841836
"20","Path16",NA,NA,NA,NA,0.217579994789472,"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",9311.776898,12418.29929,13700.72301,9672.868969,9377.589091,10780.81293,13919.44969,7810.714403,12702.82838,9535.908783,10252.17182,5255.669345,4744.234233,10728.16098,12591.12201,11323.37066,8639.214575,8530.091842,8840.781779,12237.45649,7825.318619,11732.79949,12516.42937,9696.117661
"21","Path17",NA,NA,NA,NA,0.257727464859336,"ARO-PWY: chorismate biosynthesis I",5546.869755,11957.288,9608.657942,5911.746739,5900.062074,6451.721559,8941.29191,4889.546883,8083.59286,5394.018574,5920.989583,2802.240146,2964.301449,7119.750358,7470.501024,6852.59196,5123.691269,4858.117073,5681.997474,7131.831053,4162.034065,6169.622148,7943.140665,6100.545494
"22","Path18",NA,NA,NA,NA,0.368431683342357,"ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis",1718.684837,4857.054174,2507.578448,2167.868271,2128.068542,2095.791702,2109.582588,1348.49131,1695.720915,1382.206546,1658.179998,942.3065971,790.3828732,1731.514313,2669.230147,2464.596604,1326.292179,2099.414275,1173.392859,2075.640787,1646.061396,2020.437126,1718.834616,2338.423124
"23","Path19",NA,NA,NA,NA,0.429949618408767,"AST-PWY: L-arginine degradation II (AST pathway)",21.61218966,683.0807489,10.51276619,0,0,0,82.33972911,0,87.87756108,0,16.10302847,0,0,203.7269593,0,0,0,0,0,0,0,0,58.46795815,127.7696423
"24","Path20",NA,NA,NA,NA,0.722591239097046,"BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I",792.6484225,5536.540364,3524.715308,291.2069103,102.9719541,272.6089752,2320.395757,484.0211117,756.2831088,602.2856336,694.5800694,303.2411528,314.2462414,1336.811453,754.5490286,515.5393535,778.5519468,675.0363074,924.1935229,592.5472319,613.5719605,1024.603504,978.1901468,1019.331251
"25","Path21",NA,NA,NA,NA,0.208253728895634,"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis",14248.09723,19579.9285,21131.13636,15256.28858,14723.21214,16921.93907,20998.52872,13082.04236,20580.40372,17639.52809,18485.00668,10364.88769,9468.468091,18481.82027,19749.10788,17660.78288,16680.54222,14367.4389,16800.33889,22193.19619,15329.24054,22052.42481,21830.48745,15907.31391
"26","Path22",NA,NA,NA,NA,0.417861485117932,"CALVIN-PWY: Calvin-Benson-Bassham cycle",4514.395578,9862.094374,6987.151879,4781.149408,4587.431986,5018.889745,6960.49179,4032.557514,6242.589435,5172.981479,5308.272079,2854.51389,3207.219965,6398.662866,5425.364494,5655.59467,5094.325159,3939.821323,5210.293211,5835.914155,3960.232791,6282.747824,7002.814056,5328.62384
"27","Path23",NA,NA,NA,NA,0.481343625152677,"CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate",250.8061476,1221.100578,803.1560186,176.1644701,179.3191047,236.2307829,708.6129245,145.3431714,520.4302331,223.9756427,409.2273995,209.718686,114.5689816,655.8025456,250.6194204,255.6361636,246.6922914,77.12420346,386.5608722,344.0997352,180.4894739,342.3342719,395.6240195,241.0617355
"28","Path24",NA,NA,NA,NA,0.542850993772847,"CENTFERM-PWY: pyruvate fermentation to butanoate",15.73412784,29.71362496,24.11126463,0,0,74.46893512,0,0,0,20.33840395,45.85196112,38.08873115,0,62.78551826,62.57005171,29.76381321,36.71132881,0,67.24730065,21.15394901,36.32834239,71.75668331,52.19870192,0
"29","Path25",NA,NA,NA,NA,0.191252652143016,"CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)",0,150.7894565,18.77091985,0,0,0,169.7395064,0,31.04633981,0,0,0,0,31.05287076,0,0,94.27375205,0,0,0,0,91.89981891,20.82370936,0
"30","Path26",NA,NA,NA,NA,0.491413951953332,"CITRULBIO-PWY: L-citrulline biosynthesis",5859.372629,7918.73633,8905.224979,6276.907188,6024.370162,6889.547877,8131.015052,5219.234903,6996.111496,4952.872548,5365.328629,3167.337882,2855.555521,5835.195028,7188.915572,7318.68239,5243.44466,5556.258342,5074.335234,6227.594601,4638.519706,6883.072041,6820.733148,6153.841505
"31","Path27",NA,NA,NA,NA,0.169774219048807,"COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)",3140.323244,10387.8218,6497.982053,2836.749109,3294.775015,3551.453159,5658.202571,2893.811075,5267.569315,3140.320014,3559.706806,1805.765745,1855.357259,3952.708269,4755.55439,3743.373633,2885.284309,2830.024405,3232.540396,4558.645142,2508.095475,3960.991743,5013.37255,3387.760076
"32","Path28",NA,NA,NA,NA,0.178508565151129,"COA-PWY: coenzyme A biosynthesis I (prokaryotic)",5949.93268,11893.20973,9212.509292,6213.87463,5901.251874,6874.313978,8954.778209,4958.923346,8223.592918,5238.199111,6338.583563,3140.874245,3208.957113,7004.442675,7917.546181,6742.225193,5095.13136,5181.912981,5629.391179,7236.602988,4904.131847,7647.29224,8090.734194,6175.467553
"33","Path29",NA,NA,NA,NA,0.248111851566463,"COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobi0mide I",567.4291379,3554.974705,2412.406054,479.6176434,751.33569,571.3811356,1390.417303,614.1663594,1521.834874,756.2207548,1135.3574,378.127511,591.3643004,1089.307749,1080.592984,625.1559763,837.29197,495.1844092,998.7404959,1045.445676,496.6407106,675.1614945,1592.436645,817.8643068
"34","Path30",NA,NA,NA,NA,0.330528259367674,"COLANSYN-PWY: colanic acid building blocks biosynthesis",1165.781851,3016.956167,2513.70344,1013.167772,1142.182083,1455.3875,2205.606758,786.8303297,2330.937483,1630.074846,2099.493484,897.4415686,1025.793273,2164.464559,1436.780946,1469.631634,2115.69113,1010.189044,1972.842771,2366.365874,1345.427719,2001.272567,2427.751686,1849.32638
"35","Path31",NA,NA,NA,NA,0.229422443446643,"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis",5987.118271,11613.78147,9996.506593,6084.664246,6154.690209,6720.682118,9010.359694,5190.946048,8089.496905,5655.38568,6272.954497,2838.439252,3122.230742,6983.003498,7908.239028,7158.668804,5316.098437,5190.627395,5926.428923,7177.647003,4073.483948,6252.663815,8004.758049,6348.676634
"36","Path32",NA,NA,NA,NA,0.543067735934988,"CRNFORCAT-PWY: creatinine degradation I",38.5109222,265.6215259,217.9384338,197.545864,263.5543953,124.2962421,618.8991995,79.64212677,393.2316154,316.5936034,354.3819462,254.8116844,368.7864374,383.0051766,210.7107048,175.5723628,505.0545414,60.00576263,535.5856085,628.5431048,529.7291645,629.4420741,362.9790436,158.1983188
"37","Path33",NA,NA,NA,NA,0.228210678108741,"DAPLYSINESYN-PWY: L-lysine biosynthesis I",4611.831615,10412.30593,8132.547035,4426.185415,4572.790906,5226.041692,7855.064143,3980.153415,6549.575004,4621.771313,5154.242442,2273.523416,2881.926839,5857.288775,6452.756284,5396.124641,4665.614599,4052.166518,4983.644465,6306.632301,3611.16189,5305.090806,7153.959485,5150.066524
"38","Path34",NA,NA,NA,NA,0.581452574720421,"DARABCATK12-PWY: D-arabinose degradation I",0,61.36695158,0,0,0,0,55.83512994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Path35",NA,NA,NA,NA,0.909240428944223,"DENITRIFICATION-PWY: nitrate reduction I (denitrification)",125.222988,177.2902654,198.7299911,160.8208402,276.6303651,174.706539,221.1436312,231.872189,8.102936906,0,22.48833994,13.1490856,0,6.446906311,206.6271793,371.7179011,46.54779096,220.9323539,18.87945334,68.20883014,41.48069742,91.51592648,75.2015399,236.836314
"40","Path36",NA,NA,NA,NA,0.413251914062459,"DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II",0,927.6066966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Path37",NA,NA,NA,NA,0.571782684565078,"DHGLUCO0TE-PYR-CAT-PWY: glucose degradation (oxidative)",0,133.078051,16.71288815,0,0,0,17.09404944,0,0,0,0,0,0,24.88147626,0,0,0,0,0,0,0,0,0,0
"42","Path38",NA,NA,NA,NA,0.122339896415473,"DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis",3486.448777,10839.6746,5560.736763,3746.013233,3225.00526,3652.467207,5416.953981,3048.800526,4998.432674,3168.445621,3988.734286,1740.338586,1708.021504,4420.702097,4768.41361,3800.542469,3371.08636,3388.073787,3171.231458,4739.555861,2441.991295,4275.494901,4380.209246,3926.188023
"43","Path39",NA,NA,NA,NA,0.434724468303072,"ECASYN-PWY: enterobacterial common antigen biosynthesis",0,130.1068229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.543896302
"44","Path40",NA,NA,NA,NA,0.3700350143744,"FAO-PWY: fatty acid &beta;-oxidation I (generic)",830.8805091,7228.926642,2146.922814,498.2326836,532.420639,730.8072827,1329.68503,517.7860936,900.5291941,1357.17157,1207.627198,0,64.29862978,1304.34161,401.2798686,782.5257083,215.3697994,817.6244935,692.3821797,1594.772572,99.88700479,1306.469969,1231.751097,1565.870505
"45","Path41",NA,NA,NA,NA,0.396731188485042,"FASYN-ELONG-PWY: fatty acid elongation -- saturated",5522.279946,13824.69271,10050.65871,5335.030341,6438.371776,6602.315661,10391.85051,4678.530964,8223.818071,5225.416598,6169.416449,3044.763705,3888.021981,7358.420481,7958.493404,7077.171694,5782.58939,5007.29467,6024.056225,6539.604212,3984.493952,5910.890586,8662.170052,7193.03212
"46","Path42",NA,NA,NA,NA,0.6412227857227,"FERMENTATION-PWY: mixed acid fermentation",2974.616205,7077.457285,5528.998485,3304.73012,3376.24267,3777.832645,5557.194211,2889.081465,4651.379657,2729.591026,3248.424823,1841.394222,1854.051747,4327.739852,4121.882249,4153.864246,2914.259814,3435.332007,3112.687302,4391.4224,2697.553952,4061.390541,5224.385667,5100.571378
"47","Path43",NA,NA,NA,NA,0.470270944159567,"FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage",0,1382.834598,280.5650357,0,0,0,887.8585131,0,574.6497537,263.1272787,545.5546872,0,0,713.0509345,0,0,0,100.7949862,24.36371779,76.70503026,97.70342486,0,297.5499122,164.3613223
"48","Path44",NA,NA,NA,NA,0.476599511101564,"FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation",0,113.1682813,0,0,0,0,20.00641527,0,0,0,13.43918091,0,0,0,0,0,0,0,0,0,0,0,40.30371995,0
"49","Path45",NA,NA,NA,NA,0.503282423336537,"FUCCAT-PWY: fucose degradation",8.185846465,73.24415976,7.830381336,0,0,0,17.43395416,0,78.02302115,8.565561134,8.294633106,0,9.778051287,44.01714752,0,0,8.70622342,0,10.94164674,0,0,0,73.53841184,13.75628052
"50","Path46",NA,NA,NA,NA,0.329447735076173,"GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuro0te degradation",0,23.03788104,0,0,0,0,0,0,0,0,0,0,0,33.82177719,0,0,0,0,0,31.65296327,0,0,0,0
"51","Path47",NA,NA,NA,NA,0.214684846056131,"GALACTARDEG-PWY: D-galactarate degradation I",223.2759938,884.6445498,303.4427372,70.6031602,38.90996802,216.3720292,268.244176,37.79591187,448.3989046,170.0473564,188.9483112,18.91140345,75.96668662,203.5895486,65.90001888,99.8334181,167.5941139,36.79016662,200.7479248,201.5231672,128.8875977,214.3276163,215.1352191,377.7766135
"52","Path48",NA,NA,NA,NA,0.0563187556351813,"GALACTUROCAT-PWY: D-galacturo0te degradation I",508.092888,1442.411069,830.8443252,339.3134804,390.0745251,368.5762647,624.8374299,351.105368,698.1716395,368.7746503,620.3939284,140.4948193,148.8807423,414.537069,446.4112299,469.2953177,245.2573218,382.0467717,205.4515826,560.651223,154.2469614,369.5506183,394.6473325,550.9572446
"53","Path49",NA,NA,NA,NA,0.770098198420508,"GALLATE-DEGRADATION-I-PWY: gallate degradation II",91.38570616,83.04144,131.8248684,89.96696412,108.1069456,145.9882629,198.3071302,53.29735466,98.21468694,0,60.35677067,0,23.67812632,19.61616789,159.1814993,165.7670377,21.93549322,78.15569123,38.26304363,90.16497063,0,40.64408039,60.31391301,154.4246555
"54","Path50",NA,NA,NA,NA,0.616839967338689,"GALLATE-DEGRADATION-II-PWY: gallate degradation I",86.11936503,26.30163664,87.42637963,55.46407699,0,60.41214596,147.6288913,23.9314315,55.83640349,0,24.35340163,0,13.27562562,0,99.93377451,37.90883501,0,42.47243124,15.66800234,29.12869219,0,0,20.28100771,90.01741318
"55","Path51",NA,NA,NA,NA,0.392971064832033,"GLCMAN00UT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneurami0te degradation",0,396.149019,73.07142453,0,0,16.07237114,0,0,0,0,0,0,0,93.61332159,9.401149088,0,28.24115864,0,0,154.2702813,22.70249642,39.19340071,76.48005265,70.68225561
"56","Path52",NA,NA,NA,NA,0.210008381082854,"GLUCARDEG-PWY: D-glucarate degradation I",235.3835535,912.3340024,303.1911332,69.91234185,38.12181882,216.6333067,327.7951966,37.65621564,470.3292713,179.619806,191.0487385,19.32802528,77.60010282,214.7722097,65.16346769,99.61457426,178.6007352,36.28795378,213.0495419,218.5886765,142.8638105,229.6505927,222.2330917,382.4467142
"57","Path53",NA,NA,NA,NA,0.214684846056131,"GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation",223.2759938,884.6445498,303.4427372,70.6031602,38.90996802,216.3720292,268.244176,37.79591187,448.3989046,170.0473564,188.9483112,18.91140345,75.96668662,203.5895486,65.90001888,99.8334181,167.5941139,36.79016662,200.7479248,201.5231672,128.8875977,214.3276163,215.1352191,377.7766135
"58","Path54",NA,NA,NA,NA,0.522722004559184,"GLUCONEO-PWY: gluconeogenesis I",3814.717284,5012.353814,5574.391185,3615.238766,3456.864116,4489.298166,5636.522332,3074.823029,5083.679702,4109.551947,4140.268087,2146.6845,1945.832233,4715.507529,4714.700873,5062.892415,3517.459276,3272.410016,3716.71594,5421.265964,3632.827231,5188.504144,5616.716041,4375.142015
"59","Path55",NA,NA,NA,NA,0.498634416286085,"GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation",3800.660092,5445.706298,5009.092385,4117.620913,4062.14471,4054.320662,4769.495682,3194.055811,4084.83145,2738.272773,3688.282286,2083.755947,1470.031438,2984.127547,4490.644607,5245.022753,3050.914866,3366.629127,2694.03892,3812.086586,2479.896579,4516.583348,3547.578197,4567.911727
"60","Path56",NA,NA,NA,NA,0.64096584121308,"GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation",0,282.3285333,235.468489,0,28.2424148,0,54.43183712,38.74254057,56.88075371,106.1680436,39.38714833,0,0,95.58677516,0,33.7529204,38.86191647,70.02381798,0,211.5477403,41.40742291,215.0762605,96.90371433,0
"61","Path57",NA,NA,NA,NA,0.44179064995606,"GLUDEG-I-PWY: GABA shunt",168.8354184,620.7979758,269.9366957,284.7891538,182.3419163,254.2841402,658.6338571,194.5038025,197.7323802,97.75544126,190.3497353,31.16071535,60.50470781,146.5927264,333.2321088,185.3255976,68.60769324,302.7302628,140.0925373,191.7360835,122.3982808,130.9541536,164.9410219,290.827555
"62","Path58",NA,NA,NA,NA,0.134882681566288,"GLUTORN-PWY: L-ornithine biosynthesis I",6392.615232,11253.0247,9916.434174,6569.319224,6750.598166,7358.072814,9738.872471,5638.999181,9450.149208,7185.433053,7592.128835,3801.174174,3499.143833,8220.068402,8964.566896,7635.55385,6425.067837,5768.001231,6620.467786,9283.290948,5642.74589,8529.812814,9567.544077,6849.916787
"63","Path59",NA,NA,NA,NA,0.750082231218076,"GLYCOCAT-PWY: glycogen degradation I",190.5615071,1015.491828,854.788281,0,220.9205103,84.79638585,488.2169763,112.809355,863.8713904,1046.716146,1025.474778,523.4310612,374.3406416,1182.340699,325.5060275,125.1525468,1028.343984,380.6321435,909.9740223,1118.388406,729.5150679,1298.115543,1233.297694,425.9958054
"64","Path60",NA,NA,NA,NA,0.31341470310153,"GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)",4658.928963,8165.774033,6838.908931,5134.20029,4954.52707,5149.082083,6499.827242,3965.252188,5626.804674,3915.948364,4876.268181,2505.734874,2015.313393,4475.596792,5865.804582,6276.264469,4032.934416,4209.946996,3717.078464,5414.108446,3453.738269,6069.031312,5159.89146,5514.86163
"65","Path61",NA,NA,NA,NA,0.93682846746198,"GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation",0,140.4790663,44.65299298,39.58050967,101.8613427,30.51438045,33.53174666,29.52427618,221.3377345,183.9571391,212.4210994,121.861837,57.51060232,347.4444333,56.14579174,12.21589292,213.8762045,69.96737427,230.0867042,144.5935473,231.3141246,267.12508,146.2402728,0
"66","Path62",NA,NA,NA,NA,0.432766447933007,"GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway",950.3044991,4124.268322,2632.647598,923.8860813,892.1147953,1096.320389,2240.493514,1240.051347,1956.396513,1110.478377,1116.813967,615.3655736,462.5902742,1873.950641,1590.982314,1237.701747,741.1085343,1239.053015,966.7765918,1568.169405,729.4933056,1207.858642,1377.540817,2001.16201
"67","Path63",NA,NA,NA,NA,0.41325191406246,"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydroge0se, TCA, and glyoxylate bypass",0,0,0,0,0,0,709.1357622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","Path64",NA,NA,NA,NA,0.340941052241497,"GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)",4504.163751,7935.709287,7387.991136,4844.793235,4434.496729,5076.405924,7290.521063,4174.439086,6296.535949,5536.052951,5852.96716,3147.253401,2741.867368,5987.437945,5798.835741,5918.97516,5357.927676,4273.45371,5045.720833,6899.376364,4709.520952,7175.706528,6756.58694,5482.083458
"69","Path65",NA,NA,NA,NA,0.466156352894094,"GLYOXYLATE-BYPASS: glyoxylate cycle",4339.398873,7922.573471,7934.149963,4276.510014,3959.753659,5215.515357,7426.769574,3873.996042,7275.044012,5719.733666,5688.220191,3362.828211,2919.083867,6558.142193,5646.504641,5904.545603,5262.933118,4259.171377,5300.358672,7229.153092,4790.524798,7015.47716,7758.165827,5695.123258
"70","Path66",NA,NA,NA,NA,0.967034046942976,"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol",24.44359856,133.3848535,107.4472935,64.22248922,42.87576252,41.068049,159.0664301,103.7783022,90.45582118,140.8700318,106.7868196,38.44993006,18.66676154,160.1828923,111.4560994,112.5010219,69.88012864,47.36753778,153.2879332,48.06413963,29.37283882,121.7183753,198.1580851,118.377071
"71","Path67",NA,NA,NA,NA,0.902419641966343,"HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate",28.87975834,533.5160136,370.4802462,0,54.81368826,29.37663331,291.7376207,20.96902524,188.4613456,55.72791866,0,20.86068894,31.49463518,132.2687371,76.51603118,97.95456088,0,61.77675578,64.74556166,39.18278975,30.85700514,52.12846658,163.0772369,302.2508845
