SampleID,X2_benzoyl_4___2r__1_hydroxy_7_methyl_3_methylideneoct_6_en_1_yl_benzene_1_3_5_triol,X3_5_dimethoxy_4___3_4_5_trihydroxy_6___sulfooxy_methyl_tetrahydro_2H_pyran_2_yl_oxy_benzoic acid,X3_Hydroxyoctadecanoic Acid,XElaidic Acid,XDL_Leucine,X4_Octylphenol_1_O_glucuronide,X1_Hydroxyanthraquinone,Xalanine betaine,Xpterolactam,X3_hydroxy_1_methylpyrrolidin_2_one,XN__4_oxopentyl__acetamide,X2_Aminohexadecane_1_15_diol,X2_Aminohexadecane_1_4_diol,XHexadecylsphingosine,X4_Methylazetidine_2_Carboxylic acid,XLeu_Asp,X4_Guanidinobutyric acid,XStachydrine,XMaltotriose,XN6_Acetyl_L_lysine,XN_benzylformamide,Xcyclo__Gly_Phe_,XL_Prolyl_L_Leucine,XDL_Tryptophan,X2_Phenylacetamide,X14_hydroxy_2_6_10_trimethylpentadeca_2_5_10_trien_4_one,XS_Methyl_L_cysteine,XTerephthalic acid,XL_Pipecolic Acid,Xγ_Linolenic Acid,XMyrtucommulone B,X2_Amino_4_hydroxy_3_methylpentanoic acid,X2_Decanol,X1_Decanol,XL_Citrulline,XL_Phenylalanine,X2__Deoxyadenosine,XHistidinol,XConfertifoline,XTrimethyllysine,X11_Octadecanoic acid_Vaccenic acid,XElemicin,XOctadec_6_enoic acid_Petroselinic acid,X2_Aminohexadecane_1_16_16_triol,XL_Valine,X2_4_Di_Tert_Butylphenol,XEmbelin,XCholine,X2_4_Dimethylacetophenone,X9_10_Anthraquinone,XGlu_Phe,X8_11_Heptadecadienoic acid,X3_5_Dihydro_2H_Furo_3_2_C_Quinolin_4_One,X3_amino_2_naphthoic acid,X3_Indoleacrylic acid,Xnaphthisoxazol A,X3_methoxy_4___3_4_5_trihydroxy_6___sulfooxy_methyl_tetrahydro_2H_pyran_2_yl_oxy_benzoic acid,X5__Deoxyadenosine,XCinchonain Ia,XThymine,XMalonic acid,XL_leucine,X2_Aminohexadecane_1_5_15_triol,XIsonicotinic acid,X5_Aminolevulinic Acid,XHercynine,XNicotinic acid _Vitamin B3_,XGuanine,X2_AminoicoSane_1_5_7_19_tetraol
H_W_FUL_R4,54852791.99,13827463.74,34556424.5,21331483.81,8640709.852,28621458.13,25080609.71,10680172.29,6981929.834,6752792.37,32460402.24,17984605.74,17712531.56,17828502.42,5430795.781,480175.532,19552943.92,27750026.37,6923030.656,7563859.857,5980962.014,9042348.287,483329.874,8777623.227,6037991.048,4581876.189,5752758.569,14261015.24,3413115.13,4916256.341,9946157.58,1661941.444,10387424.36,10202632.5,5239221.35,3233015.559,2577649.371,8702995.553,9866287.464,5894958.763,5973669.731,11076071.1,5980263.787,9494651.289,3397421.672,9028279.949,8597895.214,2694774.554,6906064.527,8887748.182,148613.665,7489458.905,5028582.545,5633302.948,4876973.336,5281230.962,2245897.086,2034513.908,6818256.996,1052003.529,7138157.796,987358.802,6196545.382,5319245.528,2413497.206,14897061.84,4837774.634,1116746.925,5830187.185
H_W_FUL_R9,54196595.93,12083689,37399210.5,45328878.76,12253113.94,28383258.58,25161826.77,10100731.34,3642266.983,3655538.814,47224078.37,13736237.11,14043578.55,13862251.61,3329669.686,1231308.562,29832136.68,39938074.75,8656135.14,25375354.69,7377033.373,6545019.279,1616068.595,6375430.315,7416077.863,4126164.67,7063300.879,11864261.09,8890988.366,6037274.597,7958459.429,1839404.515,18431146.91,17914712.28,10246271.77,4227451.03,7261981.705,13122981.92,9189909.233,12490656.09,13369650.15,10285842.73,13375431.35,7675849.62,3328544.397,7240256.486,14737555.9,6852169.612,4635908.218,8658642.74,318895.092,4846362.214,4278794.962,3947156.348,3925981.333,2992000.727,727939.595,5246120.187,6134688.282,8150606.849,5619648.58,1818678.382,4908315.294,5267214.689,2395103.95,8716067.307,4799454.792,2814567.773,4283525.638
IL_D_CDB_R1,60333771.07,3188347.969,35311631.76,20778113.37,41573699.35,29580786.01,1076740.224,29328490.69,26901279.92,25810432.66,14611564.52,22782478.11,22957970.17,22490355.94,23644947.07,62151701.98,3003167.228,11133655.41,2187941.642,11669368.79,8328022.743,5455189.409,31632841.94,5653054.528,8339960.013,10828124.5,8020777.92,13864572.35,12389135.09,7969972.623,11407478.01,12624576.55,7106901.243,6886204.718,25006645.74,13841352.69,12115504.38,9746693.063,8139771.711,7993825.244,5928215.276,9945382.695,5589054.147,8354560.511,11582725.69,10061065.29,8112679.028,7828547.663,1708060.788,8811547.589,25967612.56,7631845.037,3416058.896,3260406.289,3736329.753,3308838.613,367578.972,8815791.328,8247331.177,8259043,8037377.494,41618766.68,8117893.143,1375299.681,6443292.779,1155333.13,1403393.511,9223211.714,7324069.944
IL_D_CDB_R3,52561233.95,136327003.2,34238629.21,18624042.02,13116170.62,27601794.99,5374943.345,11578853.82,7339528.522,7239774.499,8117586.031,24137159.92,21062810.85,20790123.74,6131579.771,17380499.98,2320749.518,6967481.317,3451177.809,19427669.48,3899194.342,3169675.724,2035116.021,3155321.005,3669378.288,8215914.688,3667976.161,25451286.07,7586688.973,5486190.485,9182301.349,5236916.442,7700429.212,7366497.091,6717836.932,3041782.089,16083701.71,3729535.755,8253083.215,13470510.7,5717370.716,10380046.29,5450370.851,11169877.06,4060065.455,10359555.42,7236889.789,1988948.96,2330214.85,8646214.162,4701477.132,7573675.335,1894997.871,1774599.446,1879861.194,1966054.343,45087974.28,10907457.25,7648652.813,5563039.748,8027834.805,3562865.454,7181343.213,3750660.718,3877299.043,1939013.225,3205979.894,3194871.945,6884190.474
IL_D_CDB_R7,56286567.67,61748134.67,35048529.56,28078590.79,6568270.217,30238624.33,6105574.802,6092206.144,6575553.707,7264551.687,9651387.741,19136275.42,19417933.76,19179932.76,5925972.924,4311396.353,1158191.438,7998350.54,13294654.16,5601253.795,3221182.784,2384514.585,1221817.933,2255990.861,3358908.535,14267829.38,3091535.16,14664908.54,3895494.369,14925545.27,10055495.59,4910581.197,17134875.55,16558032.62,6025680.449,2154335.785,12803761.81,5623544.351,8233493.611,4485839.198,8175816.885,10170644.94,8131560.204,9262227.863,2239335.519,8214956.313,15152103.53,6582069.609,2380455.51,8350145.496,1131623.233,9221460.362,1547593.492,1479689.609,1608278.715,1350989.359,17164045.77,8810020.188,7192123.553,2059098.811,7752491.316,1539048.281,6288962.947,4898422.88,1203575.32,1565448.613,4416499.794,2953868.178,6597506.701
IL_D_WEB_R1,55930578.08,5232660.092,37480170.53,32905431.69,8506392.003,29038291.57,37587502.94,7096334.828,3846130.832,3877343.75,13400482.41,18518910.51,19605012.59,19107590.34,3507342.996,10687155.94,5964222.39,11573796.38,2585759.931,8310444.119,2440054.332,1938434.291,1653734.797,1999375.383,2349969.687,26704965.21,2353222.65,18073221.9,3586183.364,20668243.36,10368523.37,3582353.424,9450152.891,9066910.861,4420588.551,1739095.138,9826885.096,6710610.483,9840404.69,4493691.748,9742963.188,11439012.95,10043833.39,8722665.085,2612983.292,8192438.273,5682248.064,2056530.959,8455251.689,9558143.856,3699299.751,7478508.702,1260230.862,1234736.14,1228798.615,1092225.156,550021.201,6786245.56,8194492.184,5671322.489,7927307.418,2289045.618,6599900.335,2120860.162,2192126.051,1198185.224,1988269.196,2146409.534,5524307.805
IL_D_WEB_R2,54235045.14,7819306.382,39339576.62,22024208.85,16436525.58,27880892.51,26168881.53,14087500.17,14319012.93,15061107.09,7165400.293,20581668.2,21642178.46,22178713.07,11792807.31,20214912.31,1966264.595,6478652.494,5755425.284,6745248.232,3651738.819,1440752.214,5804832.591,1459866.424,3594290.423,19117069.99,3457035.81,7238002.422,3844483.676,17169326.62,11880750.45,16880886.61,9180395.514,8693407.299,12443418.28,4748251.397,12879048.03,17224792.57,10157018.74,5187987.211,6262680.54,10947188.97,6303102.694,8933805.049,4935263.394,9029863.738,7274793.362,3373854.789,5901333.772,8911774.24,6840371.161,7098014.826,843751.881,901292.332,791680.603,836610.246,1548133.423,8546720.69,7481839.411,5872436.609,10436727.55,3913518.755,7499226.983,3669223.378,3083040.379,1332790.372,3310917.086,3439503.736,6084653.805
IL_D_WEB_R9,53474615.81,23130639.03,38549268,31967505.51,27517985.96,27982960.42,29688267.46,23378841.11,15885251.76,16112072.29,9578976.911,19968419.29,20591711.86,19415514.11,15206951.07,49995056.49,4836060.901,7290883.932,17188220.72,4755088.902,8526732.194,5153092.823,23069770.13,4911328.986,8147916.982,33437588.58,7320638.219,17238973.81,8565625.464,28506007.69,11149499.32,5577095.804,11715745.28,11260411.75,17776210.31,8637046.45,10984619.55,9286808.391,13212066,3664478.11,8611029.942,10752436.77,8765094.123,10397899.26,7483826.065,9399948.881,6592956.715,11248268.77,13427213.63,8981275.455,24966205.73,8063542.829,3037811.891,2948368.325,2902654.41,2923314.323,4906397.2,7869099.22,8051539.717,8967129.4,8029038.592,13763953.39,6906592.275,4053926.908,6264782.043,421432.066,3475566.071,6497428.496,5540707.852
IL_W_DES_R1,58377374.16,102200219.1,36379801.74,69560258.38,109799763.7,32108771.97,1219044.825,85530139.33,147465081.7,142650607.4,35811160.08,30033636.75,30277388.54,29438902.43,123070845.7,130271376.4,29587900.05,29909200.54,33453286.07,24054759.45,37169841.27,35335353.53,113598335.6,34987242.24,35798179.75,30923620.24,35055615.7,9650530.865,63331793.25,34797804.56,8814232.927,87298393.89,7856835.916,7607280.353,25661122.74,47246593.13,28422191.88,17765472.92,8576029.628,16958746.94,19918113.17,9881538.307,20313770.18,14680718.44,36391315.53,10817657.05,7852747.119,66760875.38,1794409.89,8521801.991,72298510.86,10015475.36,22734181.05,23139726.37,23559111.05,22718069.7,13596367.51,19993085.77,8605694.502,15337112.6,6079136.699,49033372.93,10866333.54,16887103.69,25461748.14,725766.646,16094562.12,25504341.45,8585970.857
IL_W_DES_R6,57265761.04,3937694.03,37956955.4,20856868,4473184.252,29574374.37,29908387.59,3071033.808,2064613,2213831.949,10662742.82,19312755.81,20412619.06,20512419.37,2151677.244,3209007.541,916000.377,8713837.54,1508561.854,4950654.737,906186.174,1315251.276,810507.601,1453993.216,814135.209,7612033.977,835024.393,20024085.07,2582116.037,5034515.736,10504488.16,2380516.885,11285106.02,11013888.51,2711009.4,525908.735,9572538.586,3800187.071,11561364.87,4790239.895,6222772.343,10694471.65,6257456.158,8896320.821,908003.629,8694787.778,9436859.458,874230.359,12919621.52,8878048.185,906801.448,6552233.8,897461.671,859159.451,773834.534,942875.27,179460.5,7591501.127,7404110.107,3904683.935,8043024.296,1148728.685,6713724.902,533770.342,887152.005,282719.938,509056.61,3320591.141,6353211.928
IL_W_DES_R8,56716189.47,30465144.91,37653566.78,28296687.22,23853642.14,29121618.94,23604155.41,20042086.81,12785317.38,12365617.78,8654036.961,23187048.33,23277560.85,23498963.01,10929632.82,36976952.96,5446193.13,6912568.186,9054383.496,7564605.473,4797775.405,4199634.079,9871635.954,4452365.688,4707888.345,5398864.866,4611182.689,16491863.45,5402533.737,5519217.071,13112649.5,6252546.676,8947408.368,8762362.155,14814636.56,5259923.937,14349067.47,3989270.548,9876297.026,4764391.3,7998088.285,10675807.04,7771331.171,8591050.531,6308462.433,9026866.771,7115479.572,5164628.181,6313382.646,8806212.045,13838528.07,8467890.757,2671971.659,2717760.022,2808418.629,2778100.336,1501120.021,10451587.77,6627705.835,8962935.411,9246196.129,3289792.449,7384413.525,3692273.786,4756053.083,2247774.225,3465887.476,5068329.455,7570464.844
IL_W_FUL_R10,52580578.04,7097571.553,36076735.49,23307329.73,18928356.83,27851223.95,69446244.02,18536289.2,22004788.53,21892625.73,7057910.784,22308549.02,22668303.71,24529808.68,17657610.49,25452852.89,4189539.429,6052007.395,21538200.12,2359675.446,6360402.037,1953560.49,11975646.95,2044445.861,6139441.225,17144443.1,5935711.643,11077379.22,3102313.556,16715272.12,12342410.14,28394454.99,23112858.54,22103145.28,9569359.684,7391229.112,20262164.71,4888194.969,18548029.2,2500462.506,5956504.764,10943900.05,6111103.913,9762576.139,6433977.09,9447708.96,12475045.14,8397350.706,24867221.61,8746215.54,11371218.85,6943879.81,1163485.793,1145248.115,1118937.022,1159615.746,1638912.813,14853308.48,7639113.666,3441069.681,10907094.04,11688591.45,7889282.343,3380325.976,4271187.146,113248.036,3129903.888,5226542.198,8716922.739
IL_W_FUL_R3,46509069.15,4935848.101,35199613.76,44426481.46,26546985.6,24098394.78,59844512.06,19169350.15,25502582.69,26287883.93,7238711.971,20383026.15,21384965.65,22275572.23,20785420.8,13363267.2,6017888.759,5740937.899,24153849.81,6387592.915,11518662.05,4778362.619,6313192.626,4845085.62,11598913.54,12085509.15,11349458.57,15912479,7188456.358,14272585.07,10311795.23,37069494.26,11446997.29,11326438.99,12627181.94,8752472.222,7225272.452,9496232.337,16101955.5,5042572.539,12687947.87,11189699.69,13164621.15,8387673.712,6291141.872,9781792.929,2742036.801,5947229.639,19844944.13,8691093.857,6301280.561,9161425.857,2545053.57,2708333.482,2697831.536,2513044.067,334298.318,4733515.706,7059915.478,4054236.412,9888683.894,6831789.526,6597114.521,8829244.332,4200255.661,2763829.669,8762774.052,3499761.63,7060530.077
IL_W_FUL_R4,60884137.57,15033059.19,34916151.3,47587774.54,32305632.84,30528657.89,44867913.31,23448852.6,19718539.37,18605673.58,19565416.86,21891871.38,21313208.69,22681982.99,15807762.69,36563306.91,4075016.417,15481540.81,5279310.739,16460263.53,9371426.831,8258780.875,10160321.04,8408949.761,9347832.49,16628191.26,8912135.67,17093481.38,11057408.22,14744772.81,10280079.73,8242765.733,12067760.04,11608396.81,14957158.73,10180123.21,11039544.77,4098769.211,15101691.48,11564040.32,13087653.03,11099676.59,12748578.65,10287141.54,8034582.937,9646352.746,5708278.497,5940190.783,17663894.93,9305627.698,16422880.98,9861062.944,4804349.494,4841306.137,4849057.837,5033610.801,3169362.318,8349217.593,8619425.822,6512141.075,8212042.05,6971270.445,8158615.481,6273399.269,7294183.537,772294.518,6011919.083,10564461.77,5870861
